Column1,fiscal_yr,service_id,service_name_en,service_name_fr,service_standard_id,service_standard_en,service_standard_fr,type,gcss_tool_fiscal_yr,channel,channel_comments_en,channel_comments_fr,target_type,target,volume_meeting_target,total_volume,performance,comments_en,comments_fr,target_met,standards_targets_uri_en,standards_targets_uri_fr,performance_results_uri_en,performance_results_uri_fr,org_name_variant,org_id,department_en,department_fr,fy_org_id_service_id,New_standard,Standard_established,Explanation_in_comment,Published_on_website,Column3
10945,2023-2024,2565,Negotiations,Négociations,3926,Service standards established with clients on a table by table basis so all involved stakeholders in a given negotiation can have access to the negotiation table.,Normes de services établies avec les clients table par table afin que toutes les parties prenantes à une négociation donnée puissent avoir accès à la table de négociation.,ACS,,OTH,"Service standards are established with clients on a table by table basis. Service standards are maintained through telephone, video call, in-person, and email communication.","Les normes de service sont établies avec les clients sur une base de table par table. Les normes de service sont maintenus par téléphone, appel vidéo, en personne, et de la communication par courriel.",,,,,,"Target is number achieved, not percentage.               
For 2022-23 the department came close to meeting targets:
â€¢Number of communities where treaties, self-government agreements and other constructive arrangements have been concluded. Target: 237. Result: 188
â€¢Number of treaties, self-government agreements and other constructive arrangements that have been concluded. Target: 76. Result: 60
The target was not met due to changes in the topics being considered at discussion tables, as well as operational delays that influenced the number of agreements and the number of communities where agreements were concluded.","La cible est un nombre, pas un pourcentage. Pour 2021-22, le ministère s'est approché de ses objectifs : •Nombre de collectivités où des traités, des accords d'autonomie gouvernementale et d'autres arrangements constructifs ont été conclus. Objectif : 227. Résultat : 188 •Nombre de traités, d'accords d'autonomie gouvernementale et d'autres arrangements constructifs qui ont été conclus. Objectif : 76. Résultat : 60 L'objectif n'a pas été atteint en raison de changements dans les thèmes abordés lors des tables de discussion, ainsi que de retards opérationnels qui ont influencé le nombre d'accords et le nombre de communautés où des accords ont été conclus.",,nil,nil,,,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2565,,,Target provided in comment,,
10951,2023-2024,1134,Aboriginal and Treaty Rights Information System (ATRIS) and Training on using the system.,Système d'information sur les droits ancestraux et issus de traités (SIDAIT) et formation sur l'utilisation du système.,STAN00005305,The ATRIS website is available to all Canadians. ATRIS training is available to all Canadians. They can choose to take the training in either English or in French.,Aucune norme de service existe actuellement. Le site web de SIDAIT est accessible à tous les Canadiens. La formation sur SIDAIT est disponible pour tous les Canadiens. Ils peuvent choisir de suivre la formation en anglais ou en français.,ACS,,ONL,The Target type is access (open access). We want to ensure that everyone can access the website. If clients encounter difficulties we endeavour to resolve them as soon as possible. We also work with IT on continuous system improvements using client feedback on issues.,"Le type de cible est l'accès (accès libre). Nous voulons assurer que le site web soit accessible à tout le monde. Si les clients ont des difficultés, nous essayons de les régler dès que possible. Nous travaillons également avec le service informatique sur des améliorations continues du système en utilisant les commentaires des clients sur les problèmes.",,,,,,"The Target type is access (open access), we want to ensure that everyone can access the website. If clients encounter difficulties we endeavour to resolve them as soon as possible. We also work with IT on continuous system improvements using client feedback on issues.       
https://www.rcaanc-cirnac.gc.ca/eng/1100100014686/1609421785838","Le type de cible est l'accès (accès libre). Nous voulons assurer que le site web soit accessible à tout le monde. Si les clients ont des difficultés, nous essayons de les régler dès que possible. Nous travaillons également avec le service informatique sur des améliorations continues du système en utilisant les commentaires des clients sur les problèmes. URL https://sidait-atris.rcaanc-cirnac.gc.ca/SIDAIT-GEO-ATRIS/index-fra.html",,ND,ND,,,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_1134,,,,,
10954,2023-2024,2564,Contribution and Loan Funding to support Indigenous Communities Programs,"Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. S",STAN00005336,To make payments under all funding agreements in accordance with the payment schedule and the agreement terms and conditions,Effectuer les paiements prévus dans toutes les ententes de financement conformément au calendrier de paiement et aux modalités des ententes.,TML,,EML,"For Contribution: Due to the degree of integration between CIRNAC and Indigenous Services Canada (ISC), the 2022 to 2023 targets & results have been calculated using the combined data of the 2 departments.","Pour la contribution: En raison du niveau d'intégration entre RCAANC et Services aux Autochtones Canada (SAC), les cibles de rendement et résultats pour l'exercice financier de 2022 à 2023 ont été calculés à partir des données combinées des 2 ministères.",,,,,,"For Contribution: Due to the degree of integration between CIRNAC and Indigenous Services Canada (ISC), the 2020 to 2021 targets & results have been calculated using the combined data of the 2 departments. CIRNAC/ISC service standards apply to all transfer payments. Targets and performance results cover all transfer payments programs including the Negotiation, Nation Rebuilding and Cultural Spaces in Indigenous Communities Programs. The above service standards also apply to loans to support the negotiation of specific claims but are not included in the results presented for transfer payment programs","Pour la contribution: En raison du niveau d'intégration entre RCAANC et Services aux Autochtones Canada (SAC), les cibles de rendement et résultats pour l'exercice financier de 2020 à 2021 ont été calculés à partir des données combinées des 2 ministères. Les normes de service de RCAANC/SAC s'appliquent à tous les paiements de transfert. Les cibles et résultats en matière de rendement couvrent tous les programmes de paiements de transfert qui inclus les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. Les normes de service mentionnées ci-haut s’appliquent aussi aux prêts pour soutenir la négociation des revendications particulières mais ne sont pas inclus dans les résultats présentées pour les programmes de paiements de transfert",,https://www.rcaanc-cirnac.gc.ca/eng/1386685258975/1618595760832,https://www.rcaanc-cirnac.gc.ca/fra/1386685258975/1618595760832,http://,http://,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2564,,,,https://www.rcaanc-cirnac.gc.ca/eng/1732656933169/1732657050360,
10955,2023-2024,2564,Contribution and Loan Funding to support Indigenous Communities Programs,"Fonds de contribution et de prêt pour soutenir les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. S",STAN00005337,"To send correspondence to each recipient required to submit Annual Audited Financial Statements, within 30 days of receipt, advising whether these financial statements include each document the Reporting Guide requires","Communiquer avec chaque demandeur devant présenter des états financiers annuels vérifiés, dans les trente jours suivant la réception des documents, afin de l'aviser si les états financiers fournis comprennent tous les documents exigés selon le Guide de présentation des rapports.",TML,,EML,"For Contribution: Due to the degree of integration between CIRNAC and Indigenous Services Canada (ISC), the 2022 to 2023 targets & results have been calculated using the combined data of the 2 departments.","Pour la contribution: En raison du niveau d'intégration entre RCAANC et Services aux Autochtones Canada (SAC), les cibles de rendement et résultats pour l'exercice financier de 2022 à 2023 ont été calculés à partir des données combinées des 2 ministères.",,,,,,"For Contribution: Due to the degree of integration between CIRNAC and Indigenous Services Canada (ISC), the 2020 to 2021 targets & results have been calculated using the combined data of the 2 departments. CIRNAC/ISC service standards apply to all transfer payments. Targets and performance results cover all transfer payments programs including the Negotiation, Nation Rebuilding and Cultural Spaces in Indigenous Communities Programs. The above service standards also apply to loans to support the negotiation of specific claims but are not included in the results presented for transfer payment programs","Pour la contribution: En raison du niveau d'intégration entre RCAANC et Services aux Autochtones Canada (SAC), les cibles de rendement et résultats pour l'exercice financier de 2020 à 2021 ont été calculés à partir des données combinées des 2 ministères. Les normes de service de RCAANC/SAC s'appliquent à tous les paiements de transfert. Les cibles et résultats en matière de rendement couvrent tous les programmes de paiements de transfert qui inclus les programmes de négociations, de reconstruction des Nation et d’Espaces culturels dans les communautés autochtones. Les normes de service mentionnées ci-haut s’appliquent aussi aux prêts pour soutenir la négociation des revendications particulières mais ne sont pas inclus dans les résultats présentées pour les programmes de paiements de transfert",,https://www.rcaanc-cirnac.gc.ca/eng/1386685258975/1618595760832,https://www.rcaanc-cirnac.gc.ca/fra/1386685258975/1618595760832,http://,http://,aandc-aadnc,129,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,2023-2024_129_2564,,,,https://www.rcaanc-cirnac.gc.ca/eng/1732656933169/1732657050360,
11165,2023-2024,SRV02792,Weather Information Services to Public Authorities,Services d'informations météorologiques aux autorités publiques,STAN00005144,ECCC MSC staff were accessible when public authorities requested information or consultation on weather alerts or forecast information.,Le personnel du SMC d'ECCC était accessible lorsque les autorités publiques demandaient des informations ou des consultations sur les alertes météorologiques ou les prévisions.,ACS,,ONL,,,,,,,,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html,https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02792,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html#toc7,
11166,2023-2024,SRV02792,Weather Information Services to Public Authorities,Services d'informations météorologiques aux autorités publiques,STAN00005145,The accuracy of the information or service provided to the public authorities allowed for optimal decision-making.,L'exactitude des informations ou des services fournis aux autorités publiques a permis une prise de décision optimale.,ACY,,ONL,,,,,,,,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html,https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02792,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html#toc7,
11167,2023-2024,SRV02792,Weather Information Services to Public Authorities,Services d'informations météorologiques aux autorités publiques,STAN00005146,ECCC MSC’s weather support and service to public authorities were available or provided within an optimal decision-making timeframe.,Le soutien et le service météorologiques du SMC d'ECCC aux autorités publiques étaient disponibles ou fournis dans un délai permettant une prise de décision optimale.,TML,,ONL,,,,,,,,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html,https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02792,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html#toc7,
11169,2023-2024,SRV02793,Meteorological Support for Environmental Emergency Response,Soutien météorologique pour les urgences environnementales,STAN00005148,The Environmental Emergency Response Section provides modeling to the Comprehensive Nuclear-Test-Ban Treaty Organization as a Regional Specialized Meteorological Center within 24 hours or less of receiving a request.,La Section de la réponse aux urgences environnementales fournit de la modélisation à l’Organisation du Traité d'interdiction complète des essais nucléaires en tant que Centre Météorologique Régional Spécialisé en 24 heures ou moins après avoir reçu une demande.,TML,,ONL,,,,,5,5,1,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html,https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02793,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html#toc6,
11170,2023-2024,SRV02793,Meteorological Support for Environmental Emergency Response,Soutien météorologique pour les urgences environnementales,STAN00005149,The Environmental Emergency Response Section provides modeling to the International Atomic Energy Agency and to the National Meteorological and Hydrological Services of World Meteorological Organization member countries in the Americas as a Regional Specialized Meteorological Centre,La Section de la réponse aux urgences environnementales fournit de la modélisation à l’Agence international de l’énergie atomique et aux Services météorologiques et hydrologiques nationaux des pays-membres de l’Organisation météorologique mondiale des Amériques en tant que Centre météorologique régional spécialisé pour des incidents nucléaires en 3 heures ou moins après avoir reçu une demande.,TML,,ONL,,,,,12,12,1,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html,https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02793,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html#toc6,
11171,2023-2024,SRV02793,Meteorological Support for Environmental Emergency Response,Soutien météorologique pour les urgences environnementales,STAN00005150,"The Environmental Emergency Response Section provides modeling to World Meteorological Organization member countries as a Regional Specialized Meteorological Center for non-nuclear incidents (e.g. forest fires, industrial fires, chemical releases without fires) within 2 hours or less.","La Section de la réponse aux urgences environnementales fournit de la modélisation à des pays-membres de l’Organisation météorologique mondiale en tant que Centre météorologique régional spécialisé pour des incidents non nucléaires (p.ex. feux de forêts, incendies industriels, rejets chimiques sans incendie) en 2 heures ou moins après avoir reçu une demande.",TML,,ONL,,,,,3,3,1,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html,https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02793,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html#toc6,
11172,2023-2024,SRV02793,Meteorological Support for Environmental Emergency Response,Soutien météorologique pour les urgences environnementales,STAN00005151,"The Environmental Emergency Response Section issues Volcanic Ash Advisories as the International Civil Aviation Organization designated Volcanic Ash Advisory Centre in Montreal, according to the established deadlines.","La Section de la réponse aux urgences environnementales émet des avis de cendres volcaniques en tant que Centre d'avis de cendres volcaniques de Montréal désigné par l’Organisation de l’aviation civile internationale, selon les délais établis.",TML,,ONL,,,,,2,3,0.6667,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html,https://www.canada.ca/fr/environnement-changement-climatique/services/normes-service-meteorologique.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02793,,,,https://www.canada.ca/en/environment-climate-change/services/meteorological-service-standards.html#toc6,
11173,2023-2024,SRV02751,Environmental emergencies,Urgences environnementales,STAN00005154,Environmental Emergencies Notification Desk: Maintaining a 24/7 emergency notifications service with no downtime greater then 4 hours.,"Bureau de notifications des urgenges environnmentales : Maintenir un service de notifications d'urgence 24/7, sans temps d'arrêt supérieur à 4 heures.",TML,,TEL,telephone and email,téléphone et e-mail,,,,,,,,,http://,http://,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02751,,,,,
11175,2023-2024,SRV02866,Hazardous Waste Export and Import Permits,Permis d’exportation et d’importation de déchets dangereux,STAN00005185,To complete the review process for permit applications within 60 days of receiving the complete and accurate application,Terminer le processus d'examen des demandes de permis dans les 60 jours après avoir reçu la demande complète et exacte,TML,,ONL,permits are delivered as soon as reviewers determine regulatory obligations are met through the Canadian Notification and Movement Tracking System,les permis sont émis dès que les réviseurs déterminent que les obligations réglementaires sont remplies dans le système électronique,,,,,,,,,https://www.canada.ca/en/environment-climate-change/services/managing-reducing-waste/permit-hazardous-wastes-recyclables/service-standard-performance-target-permits.html,https://www.canada.ca/fr/environnement-changement-climatique/services/gestion-reduction-dechets/permis-dechets-dangereux-matieres-recyclables/norme-service-objectif-rendement-permis.html,http://,http://,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02866,,,,,
11185,2023-2024,SRV02750,Disposal at sea emergency permits,Permis d'urgence pour l'immersion en mer,8693,Permit was issued within the requested timeline based on the specific emergency.,Le permis a été délivré dans le délai demandé en fonction de l'urgence spécifique.,OTH,,EML,,,,,,,,,,,Not available,Not available,,,ec,137,Environment and Climate Change Canada,Environnement et Changement climatique Canada,2023-2024_137_SRV02750,8693,,,,
11202,2023-2024,1855,Travel Information Program,Programme de renseignements aux voyageurs,3959,Urgent Travel Advice and Advisories updates,Mises à jour urgentes des Conseils aux voyageurs et avertissements,TML,,ONL,,,,,4038,4038,1,Reflects the total of Non-urgent Travel Advice and Advisories updates and Urgent Travel Advice and Advisories updates,Reflète le total des mises à jour des conseils et avis aux voyageurs non urgents et des mises à jour des conseils et avis aux voyageurs urgents.,,Not published on the web,Non publié sur le web,Not applicable,Non applicable,dfatd-maecd,126,Global Affairs Canada,Affaires mondiales Canada,2023-2024_126_1855,,,,Not applicable,
11203,2023-2024,1855,Travel Information Program,Programme de renseignements aux voyageurs,3960,Non-urgent Travel Advice and Advisories updates,Mises à jour non urgentes des Conseils aux voyageurs et avertissements,TML,,ONL,,,,,4038,4038,1,Reflects the total of Non-urgent Travel Advice and Advisories updates and Urgent Travel Advice and Advisories updates,Reflète le total des mises à jour des conseils et avis aux voyageurs non urgents et des mises à jour des conseils et avis aux voyageurs urgents.,,Not published on the web,Non publié sur le web,Not applicable,Non applicable,dfatd-maecd,126,Global Affairs Canada,Affaires mondiales Canada,2023-2024_126_1855,,,,Not applicable,
