Submission ID / Identifiant de soumission,Date of submission / Date de soumission,Department,"Role
","Estimated FTEs Involved
","Estimated Time Spent
","Estimated Time to Secure DM Approval
","6.a. Have you previously completed the Service Inventory reporting process? 
","7 The most recent Service Inventory process (November 2024) required less time and effort than the 2023 process. 
","8 What resources did you use to understand the process? (check all that apply)
","9. Respond to this statement: If I had a question or a problem while working on the inventory, I was able to find the resources or help I needed to resolve it.    
","10. How would you rate your experience using the Service Inventory data collection Excel reporting template? 
","11. How would you rate your experience contacting the Service Policy generic inbox?
","12. How would you rate your experience attending the Service Policy-led drop-in sessions? 
","13 What about the process worked well? (check all that apply)
"," If you checked other, describe what worked well:
","14. What about the process could have been better? 
"," If you checked other, describe what could have been better:
","15. Is there anything else you’d like to share? 
"
13-02-9b76,2025-02-13T19:06:55.765Z,Canada Revenue Agency,Other ,50+,41-60 hours,2-3 weeks,I don't recall,-,"Integrated Call Letter,Service Policy generic inbox,Drop-in sessions,Policy on Service and Digital and related instruments",Neutral,Neutral,Fair,Neutral,"Ease of uploading data,Easy to use open portal,Ease of logging in/accessing open portal",-,"Challenges with requesting new Service ID/service standard ID,Tight timelines,Difficulty understanding data requirements",-,-
27-02-5c8d,2025-02-27T20:53:08.547Z,Canadian Centre for Occupational Health and Safety,Other ,2–5,11–20 hours,Less than one week,Yes,Somewhat agree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page",Somewhat agree,Good,Not applicable/did not contact the inbox,Excellent,"Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Helpful drop-in sessions",-,Other,"some parts of the instructions were unclear, such as the need to email deputy head approval",-
27-02-0bbf,2025-02-27T16:51:33.480Z,Canadian Human Rights Commission,Other ,11–20,21-40 hours,2-3 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Talking to colleagues who had worked on the process before",Neutral,Excellent,Excellent,Excellent,"Availability of support from service team,Helpful drop-in sessions",-,Tight timelines,-,-
14-02-b38c,2025-02-14T12:46:15.236Z,Copyright Board Canada,Other ,2–5,5-10 hours,Less than one week,No,-,"Integrated Call Letter,GC Service Community GCXchange page,Policy on Service and Digital and related instruments",Somewhat agree,Excellent,Not applicable/did not contact the inbox,Did not attend,"Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Easy to use service inventory data collection template",-,Not applicable,-,-
26-02-c60d,2025-02-26T16:19:38.608Z,Correctional Service Canada,Other ,21–50,Over 60 hours,More than 4 weeks ,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before,Other resource",Somewhat agree,Fair,Fair,Good,"Helpful drop-in sessions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal",-,"Unclear definitions,Difficulty understanding data requirements,Issues with the service inventory data collection template,Tight timelines,Other",-,I'd like to enhance the communication with TBS for guidance and clarifications.
14-02-b7da,2025-02-14T20:11:09.008Z,Développement économique Canada pour les régions du Québec,Other ,6–10,Over 60 hours,1-2 weeks,Oui,Neutral,"Lettre d'appel intégrée,Séances d'information,Page GCÉchange de la communauté de service du GC",Somewhat disagree,Good,Excellent,Excellent,"Availability of support from service team,Ease of logging in/accessing open portal,Helpful drop-in sessions",-,"Challenges using portal,Issues with the service inventory data collection template,Tight timelines",-,Gregory et Francesca ont toujours répondu rapidement à mes questions. Gregory a été disponible pour des rencontres individuelles pour m'aider à trouver les informations recherchées et me soutenir dans la génération des codes de programme. Un grand merci de votre soutien.
13-02-2c99,2025-02-13T18:38:06.197Z,Health Canada,Other ,21–50,Not sure,3-4 weeks,Yes,Somewhat disagree,"Integrated Call Letter,Drop-in sessions,Data dictionary on Open Government registry ",Somewhat disagree,Neutral,Good,Good,Helpful drop-in sessions,-,"Challenges with requesting new Service ID/service standard ID,Issues with the service inventory data collection template,Tight timelines,Difficulty understanding data requirements",-,-
20-02-4a01,2025-02-20T19:54:28.961Z,Library and Archives Canada,Other ,1,21-40 hours,2-3 weeks,No,-,"GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox",Neutral,Good,Good,Did not attend,"Availability of support from service team,Ease of logging in/accessing open portal,Ease in requesting new service ID/service standard ID",-,"Difficulty understanding data requirements,Unclear definitions,Challenges using portal",-,-
28-02-2e59,2025-02-28T21:51:24.243Z,Privy Council Office,Other ,11–20,41-60 hours,More than 4 weeks ,Yes,Strongly disagree,"Drop-in sessions,Talking to colleagues who had worked on the process before,Service Policy generic inbox,Data dictionary on Open Government registry ,Integrated Call Letter,GC Service Community GCXchange page",Strongly disagree,Neutral,Neutral,Fair,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data",-,"Difficulty understanding data requirements,Unclear definitions,Issues with the service inventory data collection template,Tight timelines",-,"Reporting of errors was very challenging. We were told we had critical errors, but then did not. This can create a lot of problems up the reporting chain. Definitions are unclear. Should have more clearly indicated the relationship between program codes and departments. In the Excel spreadsheet, it’s just one long list, so if you were unaware, you wouldn’t know that the codes are department-specific. For example, we associated the code BY103 (Public Education and Information) with our Public Enquiries service, but it turned out that the code is specific to the Office of the Chief Electoral Officer. While their website makes this clear, it’s not as evident in the definitions section of the Excel spreadsheet."
14-02-e570,2025-02-14T13:55:29.556Z,Public Safety Canada,Other ,2–5,11–20 hours,1-2 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Other resource",Strongly agree,Good,Good,Good,Availability of support from service team,-,Not applicable,-,-
18-02-3995,2025-02-18T16:01:18.945Z,Public Service Commission of Canada,Other ,21–50,Over 60 hours,2-3 weeks,Yes,Somewhat disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Open Government registry operations guides,Talking to colleagues who had worked on the process before,Other resource",Strongly disagree,Poor,Poor,Poor,-,-,"Unclear definitions,Challenges accessing portal,Challenges using portal,Challenges with requesting new Service ID/service standard ID,Issues with the service inventory data collection template,Tight timelines",-,"The fact that the service inventory team (besides Gregory Erikson, he has exceptional client service) point people to GC Connex, or links, or whatever rather than answering questions is  a constant irritant, year over year. It's quite terrible. "
13-02-34d0,2025-02-13T19:53:28.152Z,Public Services and Procurement Canada,Other ,50+,Over 60 hours,2-3 weeks,Yes,Somewhat disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Somewhat agree,Fair,Good,Good,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Accurate and helpful data dictionary,Helpful drop-in sessions",-,"Difficulty understanding data requirements,Unclear definitions,Tight timelines",-,Conflicting information and process regarding Service Inventory data requirements and Critical Services requirements continues to be a challenge.
21-02-f905,2025-02-21T12:27:09.131Z,Public Services and Procurement Canada,Other ,21–50,21-40 hours,3-4 weeks,No,-,"Drop-in sessions,GC Service Community GCXchange page",Strongly agree,Excellent,Excellent,Excellent,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Helpful drop-in sessions,Accurate and helpful data dictionary,Easy to use service inventory data collection template",-,Not applicable,-,-
27-02-1977,2025-02-27T18:29:51.998Z,Social Sciences and Humanities Research Council,Other ,2–5,Over 60 hours,More than 4 weeks ,Yes,Somewhat disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Data dictionary on Open Government registry ",Strongly disagree,Neutral,Fair,Good,"Accurate and helpful data dictionary,Helpful drop-in sessions",-,Difficulty understanding data requirements,-,"The process seems to be designed for tangible services and it is difficult to apply it to grants and scholarships.  Furthermore, the information is provided in November but it takes months to see it on gcinfobase.  Any correction to be made is then difficult and complicated."
26-02-8def,2025-02-26T19:24:32.634Z,Canadian Heritage,Planning analyst,21–50,Over 60 hours,2-3 weeks,Yes,Strongly disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Somewhat agree,Poor,Good,Poor,Other,My personal knowledge and experience with the process helped me get through it. ,"Unclear definitions,Challenges using portal,Challenges with requesting new Service ID/service standard ID,Issues with the service inventory data collection template,Other",Someone of authority should be providing/leading the drop-in sessions. Translations of the data dictionary are poor. The data dictionary still includes many questions that are no longer required.  Excel template was very difficult to use (coding not useful). Changing reporting portals every year is challenging.   ,Process used to communicate critical errors was very confusing and created panic at senior management levels. Minor errors should not have been included especially when these can not be addressed at this time.  Titan was the preferred portal for data entry as it was easy to use and errors were communicated immediately through the portal. 
28-02-697a,2025-02-28T20:28:01.314Z,Immigration and Refugee Board of Canada,Planning analyst,2–5,Over 60 hours,2-3 weeks,Yes,Somewhat agree,"Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Data dictionary on Open Government registry ,Service Policy generic inbox,Talking to colleagues who had worked on the process before,Integrated Call Letter",Strongly agree,Excellent,Neutral,Neutral,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template",-,"Difficulty understanding data requirements,Unclear definitions,Challenges with requesting new Service ID/service standard ID",-,"Not ideal that departments had to correct errors in service ID assignments caused by TBS after they had submitted their Service Inventory for 2023-2024. Also, it was difficult to get a response from the Service Policy inbox on what the best path forward was for addressing a data display error for service data on Infobase. On other issues, they were very responsive."
27-02-bc16,2025-02-27T17:18:18.900Z,Impact Assessment Agency of Canada,Planning analyst,21–50,Over 60 hours,2-3 weeks,Yes,Somewhat disagree,"Drop-in sessions,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ",Somewhat agree,Poor,Good,Good,"Availability of support from service team,Ease of uploading data,Helpful drop-in sessions",-,"Unclear definitions,Difficulty understanding data requirements,Challenges using portal,Tight timelines,Issues with the service inventory data collection template,Challenges with requesting new Service ID/service standard ID",-,-
27-02-9ec2,2025-02-27T20:50:18.591Z,Impact Assessment Agency of Canada,Planning analyst,2–5,41-60 hours,1-2 weeks,Yes,Neutral,"Policy on Service and Digital and related instruments,Talking to colleagues who had worked on the process before,Service Policy generic inbox,Data dictionary on Open Government registry ",Somewhat agree,Fair,Not applicable/did not contact the inbox,Did not attend,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal",-,"Difficulty understanding data requirements,Unclear definitions,Issues with the service inventory data collection template,Tight timelines",-,-
13-02-73f5,2025-02-13T17:40:49.752Z,Office of the Superintendent of Financial Institutions,Planning analyst,21–50,21-40 hours,1-2 weeks,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox",Strongly agree,Excellent,Excellent,Excellent,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Helpful drop-in sessions,Easy to use service inventory data collection template,Accurate and helpful data dictionary",-,Unclear definitions,-,Confusion with Critical Service and Non-critical services. To clarify the two reporting requirements or integrate them.
13-02-936c,2025-02-13T18:16:52.164Z,Patented Medicine Prices Review Board Canada,Planning analyst,2–5,11–20 hours,1-2 weeks,Yes,Somewhat agree,"Integrated Call Letter,Drop-in sessions,Service Policy generic inbox,Data dictionary on Open Government registry ",Somewhat agree,Excellent,Good,Neutral,"Ease of uploading data,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Unclear definitions,-,-
13-02-b79e,2025-02-13T18:17:47.052Z,Public Service Commission of Canada,Planning analyst,2–5,21-40 hours,2-3 weeks,Yes,Somewhat disagree,"Integrated Call Letter,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Open Government registry operations guides,Other resource",Somewhat agree,Fair,Good,Poor,Ease in requesting new service ID/service standard ID,-,"Difficulty understanding data requirements,Unclear definitions,Challenges accessing portal,Issues with the service inventory data collection template",-,Consistency of information related to GC Service Inventory does not always occur. Attempts to stay ahead of process is hard because of the constant changes in Service inventory process.
18-02-d3f7,2025-02-18T13:19:50.893Z,Royal Canadian Mounted Police,Planning analyst,21–50,Over 60 hours,More than 4 weeks ,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before,GC Service Community GCXchange page,Service Policy generic inbox",Neutral,Fair,Good,Neutral,"Availability of support from service team,Helpful drop-in sessions,Ease of logging in/accessing open portal,Ease in requesting new service ID/service standard ID,Accurate and helpful data dictionary",-,"Challenges using portal,Issues with the service inventory data collection template,Tight timelines,Challenges accessing portal,Difficulty understanding data requirements",-,-
18-02-12d0,2025-02-18T14:29:22.357Z,Royal Canadian Mounted Police,Planning analyst,21–50,41-60 hours,More than 4 weeks ,Yes,Somewhat agree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ",Neutral,Good,Good,Good,"Helpful drop-in sessions,Easy to use service inventory data collection template",-,"Challenges with requesting new Service ID/service standard ID,Tight timelines,Challenges using portal",-,-
18-02-08da,2025-02-18T20:38:50.470Z,Canada Border Services Agency,Policy analyst,50+,Over 60 hours,More than 4 weeks ,Yes,Strongly disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Strongly agree,Excellent,Excellent,Good,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Ease in requesting new service ID/service standard ID,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Other,Is there another tool other than excel that could be explored to collect and submit the data e.g. GC Forms?,Thank you for the opportunity to provide feedback. We did incorporate some of the design elements from your excel template into our internal reports. 
14-02-6aba,2025-02-14T14:05:40.203Z,Canada Revenue Agency,Policy analyst,2–5,Not sure,More than 4 weeks ,Yes,Somewhat disagree,"Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Open Government registry operations guides",Neutral,Good,Fair,Good,"Easy to use open portal,Helpful drop-in sessions",-,"Difficulty understanding data requirements,Unclear definitions,Challenges using portal,Issues with the service inventory data collection template,Tight timelines",-,"I think a debrief session with all participating departments could be worthwhile. Each penholder for their department can express what worked well and what did not. The survey won't capture the finer details.

For example, in our case there were numerous problems with the portal and the template because the character limit between English and French were identical. This prevented us from uploading or deleting our entries for quite some time. "
13-02-8e40,2025-02-13T17:40:34.868Z,Canadian Grain Commission,Policy analyst,11–20,41-60 hours,1-2 weeks,Yes,Strongly disagree,"Drop-in sessions,GC Service Community GCXchange page,Integrated Call Letter,Service Policy generic inbox,Data dictionary on Open Government registry ",Somewhat agree,Fair,Good,Good,"Availability of support from service team,Helpful drop-in sessions,Ease of uploading data",-,Other,Shift from EPM to excel template resulted in additional work to generate the spreadsheet,-
18-02-5ec9,2025-02-18T17:37:11.420Z,Canadian Northern Economic Development Agency,Policy analyst,2–5,21-40 hours,1-2 weeks,No,-,"GC Service Community GCXchange page,Other resource,Service Policy generic inbox,Talking to colleagues who had worked on the process before",Somewhat agree,Neutral,Excellent,Did not attend,"Availability of support from service team,Clear instructions,Easy to use open portal,Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Other",Working group of RDA colleagues,Issues with the service inventory data collection template,-,-
21-02-9186,2025-02-21T05:44:04.501Z,Canadian Transportation Agency,Policy analyst,2–5,Over 60 hours,1-2 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Service Policy generic inbox,Policy on Service and Digital and related instruments,Data dictionary on Open Government registry ,Other resource",Somewhat disagree,Poor,Poor,Fair,Not applicable,-,"Difficulty understanding data requirements,Unclear definitions,Challenges accessing portal,Challenges using portal,Challenges with requesting new Service ID/service standard ID,Unable to attend drop in sessions,Issues with the service inventory data collection template,Tight timelines",-,"Instructions need to be more clear... There is no reference document or support materials to refer to. Very vague process which makes it difficult for someone to do this process for the first time, with no background whatsoever. "
13-02-8f00,2025-02-13T17:57:15.957Z,Correctional Service Canada,Policy analyst,11–20,Over 60 hours,3-4 weeks,Yes,Strongly disagree,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Talking to colleagues who had worked on the process before,Other resource",Somewhat disagree,Neutral,Fair,Good,"Ease of logging in/accessing open portal,Ease of uploading data,Helpful drop-in sessions",-,"Difficulty understanding data requirements,Unclear definitions,Tight timelines,Other,Issues with the service inventory data collection template,Unable to attend drop in sessions",Q&A sessions should be posted online after completion. New data requirements should be written and posted clearly on the GCXchange site. New instructions for templates need to be released earlier. The integrated call letter should be released earlier. Data relationships should be clearly explained as they are applied in GCepm for GCapm and critical service information and how service information needs to be correlated to the critical applications listed in apm and on the CBAS list.  Future dashboards utilizing service information should be openly shared so all departments can give feedback. ,"Any changes to data collection/ needs must be communicated officially from TBS prior to the data collection time period, it is not sufficient to ""mention it in a workshop"" and then implement the changes. Clear instructions as to how Deputy Head approval will be collected should be given, forwarding an email is not ideal. Any data definitions must be clearly defined prior to the collection period in order to maintain governance, being informed that there are new relational components after submission of the inventory is not sufficient."
13-02-7f32,2025-02-13T17:52:04.378Z,ESDC,Policy analyst,50+,Over 60 hours,More than 4 weeks ,No,-,"Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments",Neutral,Good,Not applicable/did not contact the inbox,Good,Not applicable,-,"Unclear definitions,Challenges using portal,Issues with the service inventory data collection template",-,-
13-02-3056,2025-02-13T18:13:26.215Z,Public Services and Procurement Canada,Policy analyst,50+,Over 60 hours,3-4 weeks,Yes,Somewhat agree,"Policy on Service and Digital and related instruments,Data dictionary on Open Government registry ,Talking to colleagues who had worked on the process before,Other resource,Drop-in sessions,Integrated Call Letter",Somewhat disagree,Poor,Good,Neutral,"Accurate and helpful data dictionary,Ease of logging in/accessing open portal",-,"Difficulty understanding data requirements,Unclear definitions,Issues with the service inventory data collection template,Tight timelines",-,-
14-02-54e6,2025-02-14T12:15:58.452Z,Canadian Intergovernmental Conference Secretariat,Program manager,1,11–20 hours,Less than one week,Yes,Somewhat agree,"Integrated Call Letter,GC Service Community GCXchange page,Data dictionary on Open Government registry ,Open Government registry operations guides",Neutral,Neutral,Not applicable/did not contact the inbox,Did not attend,"Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template",-,Unclear definitions,-,-
27-02-49f7,2025-02-27T17:09:27.123Z,Federal Economic Development Agency for Northern Ontario,Program manager,1,11–20 hours,Less than one week,No,-,"Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Strongly agree,Excellent,Excellent,Excellent,"Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Unclear definitions,-,"I appreciated the drop-in sessions. Extremely helpful. Instructions pertaining to the IDs and what to include was not clear; however, easily rectified through the drop in sessions."
27-02-c578,2025-02-27T18:39:38.433Z,Women and Gender Equality Canada,Program manager,11–20,41-60 hours,2-3 weeks,No,-,"Integrated Call Letter,Drop-in sessions,GC Service Community GCXchange page,Policy on Service and Digital and related instruments,Service Policy generic inbox,Data dictionary on Open Government registry ,Open Government registry operations guides,Talking to colleagues who had worked on the process before",Somewhat agree,Good,Good,Good,"Clear instructions,Availability of support from service team,Ease of logging in/accessing open portal,Easy to use open portal,Ease of uploading data,Accurate and helpful data dictionary,Easy to use service inventory data collection template,Helpful drop-in sessions",-,Unclear definitions,-,"Being the first time my unit to conduct the Service inventory on behalf of WAGE, it required transfer of knowledge  that took extra work and time.  As mention higher up , the understanding of the definition was sometime challenging, the support given by TBS was required and appreciated."
17-02-fa8a,2025-02-17T14:44:51.748Z,Canadian Nuclear Safety Commission,Results analyst,21–50,41-60 hours,Less than one week,Yes,Neutral,"Integrated Call Letter,Drop-in sessions,Policy on Service and Digital and related instruments",Somewhat agree,Good,Good,Good,"Ease of logging in/accessing open portal,Easy to use open portal,Helpful drop-in sessions",-,Not applicable,-,No
